Sales,Quantity,Discount,Profit,Shipping Cost,Category,Ship Mode,City-States,Segment,Order Priority,Market
53.04,1,0.0,20.13,4.03,1,4,528,2,1,1
50.01,1,0.0,0.48,2.83,1,4,75,1,1,2
200.04,4,0.0,1.92,10.8,1,4,1087,3,1,2
100.02,2,0.0,0.96,9.27,1,2,311,2,2,2
84.768,4,0.6,-125.112,7.54,1,4,2768,3,1,1
211.92,10,0.6,-312.78,34.76,1,4,458,3,2,1
52.98,1,0.0,0.51,3.42,1,4,1322,1,1,2
52.98,1,0.0,0.51,5.35,1,3,528,1,1,1
52.98,1,0.0,0.51,18.39,1,2,2325,1,3,1
317.88,6,0.0,3.06,18.03,1,2,658,1,1,2
95.364,6,0.7,-219.456,4.7,1,4,459,2,1,1
105.96,2,0.0,1.02,7.83,1,4,353,3,1,1
24.99,1,0.0,7.74,2.62,1,4,922,3,1,1
49.98,2,0.0,15.48,8.33,1,2,1976,3,2,4
14.994,2,0.7,-19.506,2.1,1,4,1822,1,2,1
24.99,1,0.0,7.74,2.43,1,4,3103,1,2,2
9.996,1,0.6,-7.254,1.05,1,2,210,2,1,1
222.36,2,0.0,104.46,32.71,1,1,388,1,2,1
109.74,1,0.0,35.1,9.98,1,4,2759,3,1,2
109.74,1,0.0,35.1,4.95,1,4,1950,1,1,1
438.96,4,0.0,140.4,53.77,1,4,1324,3,2,1
219.48,2,0.0,70.2,28.76,1,2,1379,1,1,1
109.74,1,0.0,35.1,3.46,1,4,2226,2,1,1
109.74,1,0.0,35.1,22.26,1,3,86,2,2,2
877.92,8,0.0,280.8,119.14,1,4,1111,1,2,1
219.48,2,0.0,70.2,31.09,1,4,2479,1,2,2
102.9,2,0.0,12.3,8.13,1,4,3292,2,4,1
52.86,2,0.0,14.76,1.77,1,2,156,3,1,2
26.43,1,0.0,7.38,2.88,1,4,633,3,2,1
26.43,1,0.0,7.38,1.85,1,4,739,1,1,2
158.58,6,0.0,44.28,48.35,1,2,2077,3,3,1
26.43,1,0.0,7.38,1.65,1,4,2374,3,1,1
111.12,1,0.0,22.2,7.62,1,4,1327,3,1,2
66.672,2,0.7,-111.168,7.44,1,4,787,2,2,2
45.03,1,0.0,9.45,2.24,1,4,162,1,1,1
270.18,6,0.0,56.7,21.91,1,2,1902,3,2,1
45.03,1,0.0,9.45,5.3,1,3,86,1,1,2
180.12,4,0.0,37.8,14.54,1,4,2879,1,4,1
45.03,1,0.0,9.45,11.58,1,3,1181,1,2,1
17.1,1,0.0,4.08,2.32,1,4,2628,3,2,2
34.2,2,0.0,8.16,6.26,1,2,1656,3,2,1
34.2,2,0.0,8.16,7.5,1,3,3326,3,2,1
10.26,2,0.7,-15.78,1.46,1,2,3282,3,2,2
34.2,2,0.0,8.16,1.04,1,4,1369,2,1,2
17.1,1,0.0,4.08,2.5,1,2,467,2,2,2
26.37,1,0.0,7.11,4.24,1,4,933,1,2,2
26.37,1,0.0,7.11,4.23,1,4,3033,1,2,1
10.548,1,0.6,-8.712,0.78,1,4,1830,3,1,1
26.37,1,0.0,7.11,0.64,1,4,244,1,1,1
7.476,1,0.6,-9.534,0.05,1,4,2665,3,1,1
309.6,6,0.0,148.5,19.65,1,4,305,1,2,1
51.6,1,0.0,24.75,2.42,1,4,753,3,1,1
51.6,1,0.0,24.75,2.69,1,4,156,3,2,2
30.96,2,0.7,-22.74,2.67,1,4,2672,2,1,2
36.072,2,0.6,-48.708,3.28,1,4,2804,1,1,1
77.472,4,0.6,-104.688,2.36,1,4,2084,3,1,1
193.68,4,0.0,11.52,36.88,1,3,70,1,2,2
48.42,1,0.0,2.88,2.84,1,4,528,1,1,1
193.68,4,0.0,11.52,31.76,1,4,566,2,2,1
48.42,1,0.0,2.88,3.52,1,4,664,3,1,2
48.42,1,0.0,2.88,3.92,1,2,1504,3,1,1
193.68,4,0.0,11.52,25.43,1,4,1054,1,2,2
23.4,1,0.0,7.23,3.64,1,4,86,1,2,2
93.6,4,0.0,28.92,13.32,1,1,1718,3,1,1
23.4,1,0.0,7.23,1.33,1,4,5,1,1,2
23.4,1,0.0,7.23,5.46,1,1,1967,1,3,2
23.4,1,0.0,7.23,0.51,1,2,2306,1,1,1
20.07,1,0.0,9.42,1.42,1,4,3353,1,1,1
6.021,1,0.7,-4.629,0.39,1,1,2672,1,2,2
8.028,1,0.6,-2.622,0.55,1,4,1496,1,4,1
20.07,1,0.0,9.42,2.11,1,4,2286,2,2,1
86.52,2,0.6,-106.02,3.49,1,3,1830,3,2,1
43.26,1,0.6,-53.01,4.97,1,4,3345,3,2,1
64.89,2,0.7,-127.65,5.26,1,4,787,2,1,2
15.417,1,0.7,-21.093,1.3,1,4,2501,1,1,2
51.39,1,0.0,14.88,5.88,1,3,176,3,2,2
33.648,2,0.6,-8.412,2.5,1,4,1776,1,1,1
42.06,1,0.0,21.03,4.7,1,4,3371,1,2,1
84.12,2,0.0,42.06,11.83,1,3,3126,3,1,1
42.06,1,0.0,21.03,5.26,1,4,285,1,2,2
16.824,1,0.6,-4.206,0.37,1,2,458,3,2,1
42.06,1,0.0,21.03,3.34,1,2,722,2,1,1
25.236,2,0.7,-16.824,3.55,1,4,1605,1,2,1
42.06,1,0.0,21.03,1.74,1,4,460,1,1,1
100.02,2,0.0,15.96,8.23,1,4,1156,1,1,1
100.02,2,0.0,15.96,6.09,1,4,1054,3,1,2
40.26,2,0.0,8.04,1.45,1,3,156,3,1,2
12.078,2,0.7,-20.142,1.39,1,4,1643,3,2,2
40.26,2,0.0,8.04,6.91,1,4,1825,1,2,2
12.078,2,0.7,-20.142,0.83,1,4,2775,1,1,2
20.13,1,0.0,4.02,2.16,1,2,2606,2,2,2
43.65,1,0.0,13.53,4.23,1,2,2271,1,1,2
349.2,8,0.0,108.24,48.87,1,4,1400,3,2,1
1003.02,2,0.0,30.06,74.59,2,4,1622,2,1,1
319.77,1,0.0,121.5,9.19,2,3,804,1,1,2
2880.18,6,0.0,115.2,250.06,2,2,75,1,1,2
480.03,1,0.0,19.2,38.71,2,4,2281,3,1,2
121.188,1,0.6,-136.362,29.98,2,3,458,1,2,1
90.891,1,0.7,-166.659,4.39,2,4,1081,1,1,2
320.49,1,0.0,102.54,5.87,2,4,1709,1,1,2
2563.92,8,0.0,820.32,231.32,2,4,500,1,1,1
4486.86,14,0.0,1435.56,50.43,2,3,885,1,3,1
364.428,4,0.7,-546.732,24.39,2,4,1490,1,1,2
142.623,1,0.7,-275.757,19.54,2,4,2597,3,4,2
142.623,1,0.7,-275.757,39.49,2,3,1490,1,2,2
2171.16,8,0.7,-2750.28,390.09,2,2,181,3,2,1
904.65,1,0.0,289.47,45.92,2,4,618,3,1,1
318.3,1,0.0,130.5,26.15,2,2,1853,1,1,1
318.3,1,0.0,130.5,21.29,2,4,630,1,1,1
2058.0,4,0.0,946.68,393.62,2,4,178,1,2,1
126.348,1,0.6,-161.112,11.34,2,2,1830,1,1,1
126.348,1,0.6,-161.112,7.8,2,4,3220,3,1,1
315.87,1,0.0,28.41,24.43,2,4,664,1,2,2
518.4,1,0.0,67.38,61.72,2,4,500,1,2,1
2011.92,4,0.0,925.44,142.47,2,4,922,2,1,1
531.18,1,0.0,90.3,75.39,2,4,1499,3,2,1
315.75,1,0.0,129.45,28.79,2,4,2430,3,1,4
923.76,1,0.0,249.39,72.12,2,3,1656,1,2,1
984.18,2,0.0,344.46,36.7,2,2,2341,3,1,2
1248.91,6,0.6,-1779.77,18.28,2,2,1830,1,2,1
605.61,6,0.7,-1150.83,105.1,2,2,787,3,2,2
336.45,1,0.0,43.71,33.79,2,4,911,3,1,1
925.23,1,0.0,305.31,89.9,2,4,1011,1,1,2
495.99,1,0.0,238.05,28.83,2,4,323,3,1,1
198.396,1,0.6,-59.544,20.95,2,4,458,2,2,1
1842.66,2,0.0,884.46,130.25,2,4,1014,1,1,2
533.61,1,0.0,170.73,133.38,2,3,793,1,3,4
2134.44,4,0.0,682.92,315.57,2,2,285,2,3,2
2076.0,5,0.0,103.8,197.11,3,4,629,3,1,5
373.68,1,0.1,-20.76,41.04,3,4,586,3,1,5
1245.6,3,0.0,62.28,8.63,3,4,2096,3,1,5
465.156,2,0.4,-255.864,46.63,3,2,2106,3,2,6
243.06,2,0.0,102.06,33.09,3,3,1785,3,2,6
762.075,5,0.1,-8.475,106.01,3,1,1221,3,1,5
677.4,4,0.0,60.96,51.03,3,4,1342,1,1,5
762.075,5,0.1,-8.475,111.18,3,2,1172,3,2,5
219.75,1,0.5,-202.17,14.29,3,2,1082,2,1,5
791.1,2,0.1,-52.74,48.61,3,2,91,3,1,5
1236.33,3,0.0,519.21,207.44,3,4,584,1,2,6
2472.66,6,0.0,1038.42,13.25,3,4,2429,1,1,6
2596.29,7,0.1,923.013,47.83,3,4,2088,3,1,6
766.525,2,0.07,288.445,166.24,3,2,133,1,3,6
1236.33,3,0.0,519.21,286.57,3,3,350,1,1,6
975.12,5,0.2,-70.426,70.426,3,4,1516,1,1,7
243.78,1,0.0,4.86,17.271,3,4,312,2,2,7
682.584,7,0.6,-989.856,30.841,3,3,1876,1,2,7
731.34,5,0.4,-463.26,135.206,3,4,981,2,2,7
336.6,2,0.0,-46.84,46.84,3,4,1716,2,2,6
504.9,3,0.0,237.24,62.62,3,4,810,1,2,6
530.145,5,0.37,84.045,51.16,3,4,110,3,1,6
546.975,5,0.35,100.875,49.2,3,4,918,1,1,6
454.41,3,0.1,186.75,28.59,3,4,3,2,1,6
168.3,1,0.0,79.08,10.07,3,4,2530,1,1,6
168.3,1,0.0,79.08,14.76,3,4,611,2,2,6
336.6,2,0.0,158.16,34.13,3,4,590,1,1,6
198.2,2,0.0,43.6,13.624,3,4,2073,1,1,7
634.24,8,0.2,15.84,89.078,3,4,699,3,4,7
297.3,3,0.0,65.4,24.698,3,4,949,1,1,7
178.38,3,0.4,-53.52,10.737,3,4,29,1,1,7
79.28,1,0.2,1.98,3.835,3,4,209,2,1,7
297.3,5,0.4,-89.2,13.754,3,4,3050,1,1,7
396.4,4,0.0,87.2,49.848,3,3,362,3,3,7
826.56,2,0.0,41.28,72.14,3,2,1367,1,2,6
260.366,1,0.37,-132.274,1.43,3,3,391,2,2,6
2066.4,5,0.0,103.2,181.45,3,4,160,3,1,6
333.234,3,0.1,66.564,10.69,3,1,1564,3,1,6
148.104,2,0.4,-29.676,6.17,3,1,222,1,1,6
617.1,5,0.0,172.65,36.38,3,2,147,3,1,6
240.669,3,0.35,-26.001,19.03,3,4,80,3,2,6
229.561,2,0.07,51.7812,12.29,3,4,150,3,1,6
825.174,9,0.3,-117.882,219.28,3,3,20,3,3,3
73.41,1,0.5,-30.84,8.52,3,4,811,1,2,5
190.44,2,0.0,0.0,11.054,3,4,1040,1,1,7
171.396,3,0.4,-114.264,11.503,3,4,1057,1,1,7
171.396,3,0.4,-114.264,21.706,3,4,766,2,1,7
285.66,3,0.0,0.0,3.137,3,4,2958,1,1,7
765.639,7,0.1,314.559,60.68,3,2,78,2,1,5
303.825,5,0.5,-18.375,9.38,3,4,731,1,1,5
182.295,3,0.5,-11.025,17.96,3,2,2883,1,1,5
1765.4,5,0.1,-98.205,284.19,3,2,84,1,2,5
3177.71,9,0.1,-176.769,164.64,3,4,69,1,1,5
244.08,2,0.0,68.34,11.63,3,4,788,3,1,6
439.344,4,0.1,87.864,32.21,3,4,31,1,1,6
567.486,5,0.07,128.136,42.33,3,4,74,3,1,6
195.264,2,0.2,19.524,50.75,3,3,256,1,3,6
488.16,4,0.0,136.68,86.33,3,2,52,1,2,6
157.68,3,0.6,-145.86,27.489,3,2,2270,3,2,7
248.22,2,0.0,96.78,27.21,3,4,15,1,1,6
446.796,4,0.1,143.916,32.66,3,4,87,2,1,6
484.029,6,0.35,29.709,54.96,3,4,80,1,4,6
2438.67,7,0.1,867.027,126.56,3,4,6,1,1,6
1548.36,4,0.0,650.28,98.59,3,4,1321,3,1,6
719.987,2,0.07,270.947,97.67,3,4,120,3,2,6
696.762,2,0.1,247.722,70.34,3,2,3,3,2,6
774.18,2,0.0,-150.25,150.25,3,3,874,3,1,6
696.762,2,0.1,-75.27,75.27,3,1,31,1,2,6
988.08,8,0.0,276.48,39.46,3,2,52,1,1,6
185.265,3,0.5,-81.585,13.27,3,4,669,1,1,6
617.55,5,0.0,172.8,181.87,3,2,601,3,3,6
370.53,3,0.0,103.68,30.59,3,4,2492,2,1,6
729.48,2,0.0,218.82,65.35,3,2,1764,1,2,6
729.48,2,0.0,218.82,134.97,3,3,100,3,2,6
1094.22,3,0.0,328.23,111.17,3,4,581,1,4,6
1094.22,3,0.0,328.23,411.06,3,3,166,2,3,6
1094.22,3,0.0,-87.41,87.41,3,4,411,1,1,6
2042.54,7,0.2,255.234,107.34,3,4,256,3,1,6
656.532,2,0.1,-62.29,62.29,3,4,2,1,1,6
1356.83,4,0.07,335.513,21.96,3,4,133,1,1,6
291.792,3,0.6,-19.683,19.683,3,2,1554,1,1,7
1386.63,7,0.0,360.36,24.3,3,4,2659,3,1,6
1123.17,9,0.37,-196.32,83.77,3,4,110,1,1,6
891.405,5,0.1,158.355,62.21,3,4,897,1,1,6
1289.57,7,0.07,263.296,164.71,3,4,789,1,2,6
1314.45,3,0.0,341.73,277.29,3,3,364,2,1,5
876.3,2,0.0,227.82,99.32,3,2,627,1,1,5
1314.45,3,0.0,341.73,150.4,3,4,873,3,2,5
1314.45,6,0.5,-630.99,69.26,3,2,1192,2,1,5
1971.68,5,0.1,350.475,195.87,3,4,78,1,2,5
876.3,2,0.0,227.82,58.48,3,4,1633,1,1,5
517.86,3,0.0,160.47,59.37,3,4,359,1,2,5
310.716,2,0.1,72.456,20.0,3,4,2811,1,1,5
1035.72,6,0.0,-91.87,91.87,3,4,668,1,1,5
345.24,2,0.0,106.98,39.84,3,4,1458,1,2,5
155.358,1,0.1,36.228,5.72,3,3,654,3,1,5
151.936,2,0.2,17.056,25.581,3,3,962,3,1,7
474.8,5,0.0,137.6,63.741,3,4,61,1,2,7
548.505,3,0.5,-427.905,46.81,3,4,2104,1,1,5
329.103,1,0.1,3.633,16.1,3,4,652,3,1,5
248.22,3,0.0,86.82,33.757,3,4,2365,1,2,7
99.288,2,0.4,-8.312,5.319,3,4,3210,1,1,7
198.576,3,0.2,37.176,24.367,3,2,696,1,2,7
99.288,2,0.4,-8.312,10.544,3,2,490,1,1,7
248.22,3,0.0,86.82,5.484,3,3,125,2,1,7
370.899,1,0.1,86.529,121.47,3,2,1090,1,3,5
1236.33,3,0.0,383.22,134.68,3,3,983,1,1,5
1112.7,3,0.1,259.587,170.12,3,4,759,3,4,5
1648.44,8,0.5,-626.52,157.46,3,4,830,1,1,5
1854.49,5,0.1,432.645,120.99,3,4,90,2,1,5
1314.45,3,0.0,39.42,85.83,3,2,147,1,1,6
2760.34,7,0.1,-214.725,475.34,3,2,3,2,2,6
1314.45,3,0.0,39.42,144.26,3,1,908,3,2,6
788.67,2,0.1,-61.35,71.21,3,2,1564,2,2,6
2190.75,5,0.0,65.7,327.55,3,3,49,1,1,6
529.74,3,0.1,117.72,174.41,3,3,734,1,3,5
274.992,4,0.6,-158.208,46.37,3,3,355,3,2,6
618.732,6,0.4,-31.068,37.72,3,4,148,1,1,6
411.332,4,0.15,-29.88,29.88,3,4,111,1,1,3
411.332,4,0.15,-4.8392,8.98,3,1,161,2,1,3
241.96,2,0.0,33.8744,11.25,3,3,346,1,1,3
359.058,3,0.3,-35.9058,101.13,3,3,1289,2,2,3
290.666,2,0.15,-15.3,15.3,3,4,27,3,2,3
136.784,1,0.2,5.1294,9.96,3,1,1,1,2,3
1025.88,6,0.0,235.952,90.12,3,4,841,3,1,3
341.96,2,0.0,78.6508,12.28,3,4,158,2,4,3
230.16,2,0.0,64.44,32.499,3,4,609,3,2,7
276.192,4,0.4,-55.248,7.439,3,4,3330,1,1,7
644.448,7,0.2,64.428,64.06,3,4,1786,3,1,7
438.84,3,0.0,65.79,50.45,3,4,1419,1,2,6
394.956,3,0.1,21.906,31.62,3,4,50,1,1,6
206.976,2,0.2,62.056,18.133,3,4,434,1,1,7
646.8,5,0.0,284.5,49.007,3,4,1421,3,1,7
1034.88,8,0.0,-89.135,89.135,3,2,1425,1,2,7
931.392,9,0.2,279.252,39.307,3,2,580,3,1,7
342.54,2,0.0,-67.29,67.29,3,3,7,1,3,6
616.572,6,0.4,-133.668,95.21,3,4,212,3,2,6
