Sales,Profit,Shipping Cost,Category,Ship Mode,City-States,Order Priority
53.04,20.13,4.03,1,4,528,1
50.01,0.48,2.83,1,4,75,1
200.04,1.92,10.8,1,4,1087,1
100.02,0.96,9.27,1,2,311,2
84.768,-125.112,7.54,1,4,2768,1
211.92,-312.78,34.76,1,4,458,2
52.98,0.51,3.42,1,4,1322,1
52.98,0.51,5.35,1,3,528,1
52.98,0.51,18.39,1,2,2325,3
317.88,3.06,18.03,1,2,658,1
95.364,-219.456,4.7,1,4,459,1
105.96,1.02,7.83,1,4,353,1
24.99,7.74,2.62,1,4,922,1
49.98,15.48,8.33,1,2,1976,2
14.994,-19.506,2.1,1,4,1822,2
24.99,7.74,2.43,1,4,3103,2
9.996,-7.254,1.05,1,2,210,1
222.36,104.46,32.71,1,1,388,2
109.74,35.1,9.98,1,4,2759,1
109.74,35.1,4.95,1,4,1950,1
438.96,140.4,53.77,1,4,1324,2
219.48,70.2,28.76,1,2,1379,1
109.74,35.1,3.46,1,4,2226,1
109.74,35.1,22.26,1,3,86,2
877.92,280.8,119.14,1,4,1111,2
219.48,70.2,31.09,1,4,2479,2
102.9,12.3,8.13,1,4,3292,4
52.86,14.76,1.77,1,2,156,1
26.43,7.38,2.88,1,4,633,2
26.43,7.38,1.85,1,4,739,1
158.58,44.28,48.35,1,2,2077,3
26.43,7.38,1.65,1,4,2374,1
111.12,22.2,7.62,1,4,1327,1
66.672,-111.168,7.44,1,4,787,2
45.03,9.45,2.24,1,4,162,1
270.18,56.7,21.91,1,2,1902,2
45.03,9.45,5.3,1,3,86,1
180.12,37.8,14.54,1,4,2879,4
45.03,9.45,11.58,1,3,1181,2
17.1,4.08,2.32,1,4,2628,2
34.2,8.16,6.26,1,2,1656,2
34.2,8.16,7.5,1,3,3326,2
10.26,-15.78,1.46,1,2,3282,2
34.2,8.16,1.04,1,4,1369,1
17.1,4.08,2.5,1,2,467,2
26.37,7.11,4.24,1,4,933,2
26.37,7.11,4.23,1,4,3033,2
10.548,-8.712,0.78,1,4,1830,1
26.37,7.11,0.64,1,4,244,1
7.476,-9.534,0.05,1,4,2665,1
309.6,148.5,19.65,1,4,305,2
51.6,24.75,2.42,1,4,753,1
51.6,24.75,2.69,1,4,156,2
30.96,-22.74,2.67,1,4,2672,1
36.072,-48.708,3.28,1,4,2804,1
77.472,-104.688,2.36,1,4,2084,1
193.68,11.52,36.88,1,3,70,2
48.42,2.88,2.84,1,4,528,1
193.68,11.52,31.76,1,4,566,2
48.42,2.88,3.52,1,4,664,1
48.42,2.88,3.92,1,2,1504,1
193.68,11.52,25.43,1,4,1054,2
23.4,7.23,3.64,1,4,86,2
93.6,28.92,13.32,1,1,1718,1
23.4,7.23,1.33,1,4,5,1
23.4,7.23,5.46,1,1,1967,3
23.4,7.23,0.51,1,2,2306,1
20.07,9.42,1.42,1,4,3353,1
6.021,-4.629,0.39,1,1,2672,2
8.028,-2.622,0.55,1,4,1496,4
20.07,9.42,2.11,1,4,2286,2
86.52,-106.02,3.49,1,3,1830,2
43.26,-53.01,4.97,1,4,3345,2
64.89,-127.65,5.26,1,4,787,1
15.417,-21.093,1.3,1,4,2501,1
51.39,14.88,5.88,1,3,176,2
33.648,-8.412,2.5,1,4,1776,1
42.06,21.03,4.7,1,4,3371,2
84.12,42.06,11.83,1,3,3126,1
42.06,21.03,5.26,1,4,285,2
16.824,-4.206,0.37,1,2,458,2
42.06,21.03,3.34,1,2,722,1
25.236,-16.824,3.55,1,4,1605,2
42.06,21.03,1.74,1,4,460,1
100.02,15.96,8.23,1,4,1156,1
100.02,15.96,6.09,1,4,1054,1
40.26,8.04,1.45,1,3,156,1
12.078,-20.142,1.39,1,4,1643,2
40.26,8.04,6.91,1,4,1825,2
12.078,-20.142,0.83,1,4,2775,1
20.13,4.02,2.16,1,2,2606,2
43.65,13.53,4.23,1,2,2271,1
349.2,108.24,48.87,1,4,1400,2
1003.02,30.06,74.59,2,4,1622,1
319.77,121.5,9.19,2,3,804,1
2880.18,115.2,250.06,2,2,75,1
480.03,19.2,38.71,2,4,2281,1
121.188,-136.362,29.98,2,3,458,2
90.891,-166.659,4.39,2,4,1081,1
320.49,102.54,5.87,2,4,1709,1
2563.92,820.32,231.32,2,4,500,1
4486.86,1435.56,50.43,2,3,885,3
364.428,-546.732,24.39,2,4,1490,1
142.623,-275.757,19.54,2,4,2597,4
142.623,-275.757,39.49,2,3,1490,2
2171.16,-2750.28,390.09,2,2,181,2
904.65,289.47,45.92,2,4,618,1
318.3,130.5,26.15,2,2,1853,1
318.3,130.5,21.29,2,4,630,1
2058.0,946.68,393.62,2,4,178,2
126.348,-161.112,11.34,2,2,1830,1
126.348,-161.112,7.8,2,4,3220,1
315.87,28.41,24.43,2,4,664,2
518.4,67.38,61.72,2,4,500,2
2011.92,925.44,142.47,2,4,922,1
531.18,90.3,75.39,2,4,1499,2
315.75,129.45,28.79,2,4,2430,1
923.76,249.39,72.12,2,3,1656,2
984.18,344.46,36.7,2,2,2341,1
1248.91,-1779.77,18.28,2,2,1830,2
605.61,-1150.83,105.1,2,2,787,2
336.45,43.71,33.79,2,4,911,1
925.23,305.31,89.9,2,4,1011,1
495.99,238.05,28.83,2,4,323,1
198.396,-59.544,20.95,2,4,458,2
1842.66,884.46,130.25,2,4,1014,1
533.61,170.73,133.38,2,3,793,3
2134.44,682.92,315.57,2,2,285,3
2076.0,103.8,197.11,3,4,629,1
373.68,-20.76,41.04,3,4,586,1
1245.6,62.28,8.63,3,4,2096,1
465.156,-255.864,46.63,3,2,2106,2
243.06,102.06,33.09,3,3,1785,2
762.075,-8.475,106.01,3,1,1221,1
677.4,60.96,51.03,3,4,1342,1
762.075,-8.475,111.18,3,2,1172,2
219.75,-202.17,14.29,3,2,1082,1
791.1,-52.74,48.61,3,2,91,1
1236.33,519.21,207.44,3,4,584,2
2472.66,1038.42,13.25,3,4,2429,1
2596.29,923.013,47.83,3,4,2088,1
766.525,288.445,166.24,3,2,133,3
1236.33,519.21,286.57,3,3,350,1
975.12,-70.426,70.426,3,4,1516,1
243.78,4.86,17.271,3,4,312,2
682.584,-989.856,30.841,3,3,1876,2
731.34,-463.26,135.206,3,4,981,2
336.6,-46.84,46.84,3,4,1716,2
504.9,237.24,62.62,3,4,810,2
530.145,84.045,51.16,3,4,110,1
546.975,100.875,49.2,3,4,918,1
454.41,186.75,28.59,3,4,3,1
168.3,79.08,10.07,3,4,2530,1
168.3,79.08,14.76,3,4,611,2
336.6,158.16,34.13,3,4,590,1
198.2,43.6,13.624,3,4,2073,1
634.24,15.84,89.078,3,4,699,4
297.3,65.4,24.698,3,4,949,1
178.38,-53.52,10.737,3,4,29,1
79.28,1.98,3.835,3,4,209,1
297.3,-89.2,13.754,3,4,3050,1
396.4,87.2,49.848,3,3,362,3
826.56,41.28,72.14,3,2,1367,2
260.366,-132.274,1.43,3,3,391,2
2066.4,103.2,181.45,3,4,160,1
333.234,66.564,10.69,3,1,1564,1
148.104,-29.676,6.17,3,1,222,1
617.1,172.65,36.38,3,2,147,1
240.669,-26.001,19.03,3,4,80,2
229.561,51.7812,12.29,3,4,150,1
825.174,-117.882,219.28,3,3,20,3
73.41,-30.84,8.52,3,4,811,2
190.44,0.0,11.054,3,4,1040,1
171.396,-114.264,11.503,3,4,1057,1
171.396,-114.264,21.706,3,4,766,1
285.66,0.0,3.137,3,4,2958,1
765.639,314.559,60.68,3,2,78,1
303.825,-18.375,9.38,3,4,731,1
182.295,-11.025,17.96,3,2,2883,1
1765.4,-98.205,284.19,3,2,84,2
3177.71,-176.769,164.64,3,4,69,1
244.08,68.34,11.63,3,4,788,1
439.344,87.864,32.21,3,4,31,1
567.486,128.136,42.33,3,4,74,1
195.264,19.524,50.75,3,3,256,3
488.16,136.68,86.33,3,2,52,2
157.68,-145.86,27.489,3,2,2270,2
248.22,96.78,27.21,3,4,15,1
446.796,143.916,32.66,3,4,87,1
484.029,29.709,54.96,3,4,80,4
2438.67,867.027,126.56,3,4,6,1
1548.36,650.28,98.59,3,4,1321,1
719.987,270.947,97.67,3,4,120,2
696.762,247.722,70.34,3,2,3,2
774.18,-150.25,150.25,3,3,874,1
696.762,-75.27,75.27,3,1,31,2
988.08,276.48,39.46,3,2,52,1
185.265,-81.585,13.27,3,4,669,1
617.55,172.8,181.87,3,2,601,3
370.53,103.68,30.59,3,4,2492,1
729.48,218.82,65.35,3,2,1764,2
729.48,218.82,134.97,3,3,100,2
1094.22,328.23,111.17,3,4,581,4
1094.22,328.23,411.06,3,3,166,3
1094.22,-87.41,87.41,3,4,411,1
2042.54,255.234,107.34,3,4,256,1
656.532,-62.29,62.29,3,4,2,1
1356.83,335.513,21.96,3,4,133,1
291.792,-19.683,19.683,3,2,1554,1
1386.63,360.36,24.3,3,4,2659,1
1123.17,-196.32,83.77,3,4,110,1
891.405,158.355,62.21,3,4,897,1
1289.57,263.296,164.71,3,4,789,2
1314.45,341.73,277.29,3,3,364,1
876.3,227.82,99.32,3,2,627,1
1314.45,341.73,150.4,3,4,873,2
1314.45,-630.99,69.26,3,2,1192,1
1971.68,350.475,195.87,3,4,78,2
876.3,227.82,58.48,3,4,1633,1
517.86,160.47,59.37,3,4,359,2
310.716,72.456,20.0,3,4,2811,1
