Sales,Quantity,Discount,Profit,Shipping Cost,Category,Ship Mode,City-States,Segment,Order Priority,Market
13.08,3,0.0,4.56,1.033,11,4,197,1,1,7
252.16,8,0.0,90.72,13.449,1,4,1285,1,1,7
56.12,2,0.0,21.32,4.108,8,4,365,1,1,7
20.76,3,0.0,9.54,0.649,6,4,191,1,1,7
80.1,3,0.0,37.62,8.863,8,4,191,2,4,7
132.64,4,0.0,-6.203,6.203,10,4,405,1,1,7
18.84,2,0.4,-6.6,1.602,8,4,1318,3,1,7
273.472,4,0.2,95.712,48.165,4,4,2081,3,4,7
27.0,1,0.0,5.94,3.895,14,2,673,1,2,7
60.66,3,0.4,-20.22,4.0,5,4,766,3,1,7
181.116,9,0.4,-75.564,1.085,1,3,1020,1,1,7
326.186,2,0.002,-16.777,16.777,16,4,211,3,1,7
141.288,7,0.4,-9.465,9.465,5,4,490,2,1,7
300.72,14,0.0,129.08,21.216,7,3,197,3,2,7
529.32,3,0.0,264.66,94.277,2,2,1373,3,2,7
62.4,3,0.2,8.58,15.739,7,2,596,3,3,7
346.08,4,0.0,155.68,33.638,15,2,208,1,2,7
414.0,2,0.0,-21.914,21.914,17,4,2171,1,1,7
168.96,3,0.0,40.5,55.024,4,1,1205,2,3,7
125.44,5,0.2,-0.06,10.187,13,4,29,1,1,7
26.76,2,0.0,7.48,2.04,1,4,3424,1,2,7
44.9,5,0.0,8.5,3.206,6,4,92,3,1,7
66.88,4,0.0,-3.356,3.356,7,2,1151,3,1,7
230.673,3,0.402,-85.6475,9.81,16,2,490,2,1,7
21.84,3,0.2,3.0,0.892,6,4,29,2,1,7
2124.5,5,0.0,488.6,447.657,15,2,137,1,2,7
22.716,3,0.4,-11.784,1.578,10,4,766,1,2,7
391.32,9,0.0,144.72,28.183,15,4,2558,2,1,7
63.54,1,0.0,20.96,4.417,9,4,2533,1,1,7
875.22,3,0.0,139.98,220.767,3,1,526,3,2,7
437.688,3,0.4,-248.052,83.77,3,2,490,1,3,7
68.6,2,0.0,26.72,14.015,5,3,1214,2,2,7
132.108,2,0.7,-10.484,10.484,2,4,1158,1,1,7
17.96,2,0.0,5.72,2.025,12,4,342,3,2,7
874.68,3,0.0,411.06,164.447,3,4,791,1,4,7
928.256,2,0.2,-81.224,75.005,2,4,1617,3,1,7
107.448,2,0.7,-121.792,7.317,17,4,29,1,1,7
28.5,1,0.0,-1.813,1.813,7,4,696,3,1,7
18.528,2,0.4,-8.352,1.112,7,4,1267,1,1,7
22.788,3,0.4,-1.356,1.356,1,4,1318,1,1,7
263.92,2,0.0,5.24,16.439,13,4,197,1,1,7
